,gender,hispanic,white,black,asian,presapp,age,female,income,educ,ideology_7pt,republican,democrat,independent_other,AMID1,AMID2,AMID4,Amid,mar2,mar4,mar6,banmuslims,restrictmosques,sharia,noweapon,attention,agegroup,weight,mar_short
451,,0.0,1.0,0.0,0.0,1.0,64.0,0.0,1.0,0.8,0.6666666666666666,0.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.8,0.890695766315581,0.75
452,,0.0,1.0,0.0,0.0,1.0,42.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,5.0,5.0,4.0,0.9166666269302368,4.0,5.0,5.0,1.0,1.0,0.75,1.0,1.0,0.4,1.078121094221727,0.9166666
453,,0.0,1.0,0.0,0.0,0.25,69.0,0.0,0.4,0.8,1.0,1.0,0.0,0.0,3.0,4.0,4.0,0.6666666865348816,3.0,3.0,3.0,0.75,0.5,0.5,0.5,0.25,0.8,0.890695766315581,0.5
454,,0.0,1.0,0.0,0.0,0.0,72.0,1.0,1.0,0.8,0.5,0.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9257882001493398,0.08333334
455,,0.0,1.0,0.0,0.0,0.5,20.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.3333333134651184,3.0,2.0,2.0,0.25,0.0,0.5,1.0,1.0,0.0,2.063845287734626,0.3333333
456,,0.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0,1.0,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,3.0,0.6666666865348816,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6840537548911191,0.25
457,,0.0,1.0,0.0,0.0,1.0,80.0,0.0,0.8,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,0.5,0.25,1.0,0.75,1.0,1.0,1.0704117423331847,0.3333333
458,,0.0,1.0,0.0,0.0,1.0,63.0,1.0,0.6,0.8,0.5,0.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.25,0.8,0.5927019205790289,0.5833333
459,,0.0,1.0,0.0,0.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,5.0,0.8333333730697632,4.0,4.0,4.0,0.25,0.75,0.75,0.75,1.0,0.4,1.078121094221727,0.75
460,,0.0,1.0,0.0,0.0,0.0,59.0,1.0,0.6,0.6,0.5,0.0,0.0,1.0,3.0,3.0,4.0,0.5833333134651184,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.6,1.0476553763291885,0.5
461,,0.0,1.0,0.0,0.0,1.0,40.0,0.0,0.6,0.8,0.16666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,0.25,0.25,0.75,0.75,0.75,0.4,1.4076706424695749,0.6666667
462,,0.0,1.0,0.0,0.0,0.25,70.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.75,1.0,5.0,0.5
463,,0.0,1.0,0.0,0.0,0.0,60.0,1.0,0.8,0.8,0.5,0.0,0.0,1.0,4.0,4.0,5.0,0.8333333730697632,3.0,2.0,3.0,0.5,0.5,0.5,0.5,0.75,0.8,0.5927019205790289,0.4166667
464,,0.0,1.0,0.0,0.0,1.0,71.0,1.0,0.4,0.4,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.402184205091661,0.9166666
465,,0.0,1.0,0.0,0.0,1.0,71.0,0.0,0.2,0.8,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.3975567841514087,0.5
466,,0.0,1.0,0.0,0.0,0.0,64.0,0.0,0.8,1.0,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,3.0,0.6666666865348816,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.8,0.6840537548911191,0.0
467,,0.0,1.0,0.0,0.0,1.0,67.0,1.0,0.4,0.4,0.6666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.5,0.8,0.8936186887156475,0.6666667
468,,0.0,1.0,0.0,0.0,0.0,62.0,1.0,0.2,0.6,0.6666666666666666,0.0,0.0,1.0,4.0,4.0,3.0,0.6666666865348816,3.0,2.0,4.0,0.25,0.25,0.25,0.75,0.75,0.8,0.6111023362769351,0.5
469,,0.0,1.0,0.0,0.0,1.0,71.0,0.0,0.4,1.0,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,0.75,0.5,0.75,0.25,1.0,1.0,1.0704117423331847,0.3333333
470,,0.0,1.0,0.0,0.0,1.0,40.0,0.0,0.4,1.0,0.16666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.4,1.078121094221727,1.0
471,,0.0,1.0,0.0,0.0,0.0,37.0,1.0,0.8,0.4,0.16666666666666666,0.0,1.0,0.0,3.0,1.0,2.0,0.25,1.0,1.0,2.0,0.25,0.25,0.25,0.25,0.75,0.2,1.40170435375132,0.08333334
472,,0.0,1.0,0.0,0.0,0.75,54.0,1.0,0.6,0.4,0.5,1.0,0.0,0.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.75,0.5,0.75,0.75,0.75,0.6,1.5393580547455246,0.5
473,,0.0,1.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,0.75,0.75,0.75,0.25,0.6,1.1746229221623,0.8333334
474,,0.0,1.0,0.0,0.0,0.75,60.0,1.0,0.4,0.4,0.8333333333333334,1.0,0.0,0.0,4.0,4.0,4.0,0.75,3.0,3.0,2.0,0.5,0.5,0.5,0.5,0.75,0.8,0.8936186887156475,0.4166667
475,,0.0,1.0,0.0,0.0,1.0,62.0,1.0,1.0,0.8,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,0.75,0.8,0.5927019205790289,0.8333334
476,,0.0,1.0,0.0,0.0,0.0,68.0,1.0,0.6,0.8,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,4.0,0.75,2.0,1.0,2.0,0.0,0.0,0.75,0.25,1.0,0.8,0.5927019205790289,0.16666666
477,,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.6,0.6,0.5,0.0,0.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.75,1.0,0.2,1.4413914784327015,0.0
478,,0.0,1.0,0.0,0.0,0.5,58.0,1.0,0.6,0.8,0.5,0.0,1.0,0.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.6,1.0156305621740607,0.5
479,,0.0,1.0,0.0,0.0,0.0,79.0,1.0,0.0,0.2,0.5,0.0,0.0,1.0,4.0,4.0,5.0,0.8333333730697632,3.0,2.0,3.0,0.75,0.25,0.25,0.25,0.75,1.0,1.8453261011990192,0.4166667
480,,0.0,1.0,0.0,0.0,1.0,36.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,0.75,1.0,1.0,1.0,0.2,1.0700471985484503,0.8333334
481,,0.0,1.0,0.0,0.0,0.0,62.0,0.0,0.8,0.8,0.8333333333333334,1.0,0.0,0.0,4.0,4.0,5.0,0.8333333730697632,2.0,1.0,2.0,0.0,0.0,0.0,0.25,1.0,0.8,0.890695766315581,0.16666666
482,,0.0,1.0,0.0,0.0,0.0,70.0,0.0,0.8,0.4,0.6666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,0.75,0.5,1.0,1.0,1.0,1.0,2.122493771257226,0.9166666
483,,0.0,1.0,0.0,0.0,0.0,57.0,0.0,0.8,1.0,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,4.0,0.75,4.0,2.0,2.0,0.25,0.25,0.5,0.25,0.5,0.6,1.1746229221623,0.4166667
484,,0.0,1.0,0.0,0.0,0.0,67.0,1.0,0.0,0.4,0.3333333333333333,0.0,1.0,0.0,5.0,4.0,4.0,0.8333333730697632,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.8,0.8936186887156475,0.0
485,,0.0,1.0,0.0,0.0,0.75,38.0,0.0,0.4,0.8,0.5,0.0,1.0,0.0,3.0,3.0,2.0,0.4166666865348816,3.0,2.0,2.0,0.25,0.25,0.75,0.25,0.75,0.2,1.3970785410717206,0.3333333
486,,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.4,0.4,0.5,0.0,0.0,1.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,0.5,0.25,0.5,0.25,1.0,0.8,1.348604088382622,0.25
487,,0.0,1.0,0.0,0.0,1.0,40.0,1.0,0.2,0.8,0.16666666666666666,1.0,0.0,0.0,5.0,4.0,4.0,0.8333333730697632,4.0,5.0,5.0,1.0,0.75,1.0,0.75,0.75,0.4,0.9324345732590401,0.9166666
488,,0.0,1.0,0.0,0.0,0.0,67.0,1.0,1.0,1.0,0.16666666666666666,0.0,1.0,0.0,3.0,3.0,4.0,0.5833333134651184,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.8,0.4569060783929695,0.0
489,,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.6,0.4,0.16666666666666666,0.0,1.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,0.5,0.0,1.0,0.0,0.75,0.8,0.8936186887156475,0.4166667
490,,0.0,1.0,0.0,0.0,1.0,35.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,0.8333333730697632,5.0,5.0,5.0,1.0,1.0,0.75,1.0,1.0,0.2,1.0700471985484503,1.0
491,,0.0,1.0,0.0,0.0,1.0,34.0,0.0,0.6,0.8,0.0,1.0,0.0,0.0,5.0,5.0,4.0,0.9166666269302368,5.0,5.0,5.0,1.0,1.0,1.0,0.75,1.0,0.2,1.3970785410717206,1.0
492,,0.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,0.5,0.75,0.5,0.75,0.75,0.4,1.4076706424695749,0.3333333
493,,0.0,1.0,0.0,0.0,0.75,41.0,0.0,0.6,0.8,0.16666666666666666,1.0,0.0,0.0,4.0,3.0,4.0,0.6666666865348816,4.0,4.0,4.0,0.75,0.75,0.75,0.75,0.75,0.4,1.4076706424695749,0.75
