,age,gender,presapp,female,male,white,black,hispanic,asian,otherrace,income,educ,democrat,republican,independent_other,ideology_7pt,AMID1,AMID2,AMID4,AMID5,Amid,mar2,mar4,mar6,banmuslims,patrol,noweapon,sharia,restrictmosques,attention,agegroup,weight,mar_short
2271,51.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0567605392898674,0.0
2272,41.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.732074691561098,0.0
2273,45.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,0.0,0.0,0.5,3.0,3.0,4.0,3.0,0.5625,3.0,3.0,2.0,0.25,0.5,0.0,0.5,0.0,0.75,0.4,2.140495174243546,0.4166667
2274,34.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.3125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5160389619096967,0.0
2275,56.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,1.0,0.0,0.6666666666666666,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,0.75,1.0,0.75,1.0,0.5,0.6,0.9122920623961632,0.8333334
2276,32.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,0.375,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.25,0.75,0.2,0.41599498082044906,0.25
2277,40.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0,0.0,0.5,3.0,4.0,5.0,5.0,0.8125,2.0,4.0,2.0,0.75,0.75,0.75,0.75,0.75,0.5,0.4,0.6041808813157284,0.4166667
2278,35.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,1.0,0.5,3.0,3.0,5.0,5.0,0.75,3.0,3.0,1.0,0.5,0.75,0.0,0.5,0.0,0.75,0.2,0.5529523929787215,0.3333333
2279,69.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.5425692773481744,0.0
2280,69.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.16666666666666666,4.0,4.0,5.0,2.0,0.6875,4.0,2.0,3.0,0.25,0.25,0.25,0.0,0.25,0.75,0.8,0.8085167636190664,0.5
